date,open,close,high,low,volume
2025-01-02,16.51,15.88,16.56,15.72,93885.57
2025-01-03,16.21,15.11,16.26,15.04,96659.0
2025-01-06,15.02,15.04,15.33,14.67,62664.49
2025-01-07,15.37,16.12,16.15,15.13,109128.86
2025-01-08,15.77,15.78,15.96,15.1,102292.52
2025-01-09,15.51,16.02,16.48,15.49,115373.33
2025-01-10,15.32,14.95,15.58,14.94,129999.4
2025-01-13,14.7,14.9,15.04,14.37,58103.33
2025-01-14,15.3,15.52,15.54,15.03,103448.85
2025-01-15,15.41,15.25,15.51,15.18,59525.43
2025-01-16,15.45,15.06,15.52,14.97,72911.19
2025-01-17,14.97,15.19,15.36,14.94,59033.69
2025-01-20,15.21,15.29,15.69,15.13,84004.97
2025-01-21,15.4,15.03,15.46,14.88,76034.76
2025-01-22,14.97,14.79,14.98,14.74,52418.8
2025-01-23,14.94,14.6,15.19,14.6,88290.08
2025-01-24,14.67,14.81,14.88,14.29,112964.11
2025-01-27,14.82,14.62,15.07,14.58,74469.0
2025-02-05,14.72,14.91,14.97,14.7,69018.43
2025-02-06,14.94,15.42,15.69,14.86,127795.77
2025-02-07,15.32,15.57,15.9,15.29,151001.4
2025-02-10,15.57,15.92,15.92,15.48,106050.58
2025-02-11,15.93,15.74,15.93,15.62,73873.0
2025-02-12,15.73,15.81,15.83,15.58,74528.96
2025-02-13,15.81,15.36,15.81,15.35,72160.76
2025-02-14,15.33,15.4,15.49,15.23,56179.88
2025-02-17,15.5,15.88,15.92,15.4,102636.73
2025-02-18,15.86,15.41,16.08,15.38,97302.76
2025-02-19,15.42,16.05,16.38,15.42,124257.83
2025-02-20,16.05,16.4,16.41,15.97,120674.68
2025-02-21,16.41,16.42,16.61,16.19,99431.44
2025-02-24,16.29,16.09,16.3,15.92,98050.76
2025-02-25,15.86,16.14,16.32,15.79,68685.87
2025-02-26,16.11,16.3,16.36,16.06,65160.86
2025-02-27,16.31,16.18,16.33,15.82,70004.76
2025-02-28,16.06,15.28,16.08,15.22,87810.38
2025-03-03,15.24,15.4,15.61,15.07,57423.72
2025-03-04,15.21,15.82,15.88,15.2,77308.57
